No,Latitude,Longitud
Player 1,24.98298,121.54024
Player 1,24.98034,121.53951
Player 1,24.98746,121.54391
Player 1,24.98746,121.54391
Player 1,24.97937,121.54245
Player 1,24.96305,121.51254
Player 1,24.97933,121.53642
Player 1,24.98042,121.54228
Player 1,24.95095,121.48458
Player 1,24.96731,121.51486
Player 1,24.97349,121.53372
Player 1,24.97433,121.5431
Player 1,24.96515,121.53737
Player 1,24.96108,121.51046
Player 1,24.99156,121.53406
Player 1,24.9824,121.54619
Player 1,24.97744,121.54458
Player 1,24.97544,121.53119
Player 1,24.9675,121.54451
Player 1,24.96772,121.54102
Player 2,24.96314,121.51151
Player 2,24.97528,121.54541
Player 2,24.95204,121.54842
Player 2,24.97528,121.54541
Player 2,24.97353,121.53885
Player 2,24.97542,121.51726
Player 2,24.98085,121.54391
Player 2,24.95593,121.53913
Player 2,24.97419,121.53797
Player 2,24.97563,121.54694
Player 2,24.94826,121.49587
Player 2,24.98281,121.53408
Player 2,24.97349,121.53451
Player 2,24.97841,121.54281
Player 2,24.98419,121.54243
Player 2,25.01459,121.51816
Player 2,24.96386,121.51458
Player 2,24.95204,121.54842
Player 2,24.97201,121.54722
Player 2,24.98203,121.54348
Player 3,24.94155,121.50381
Player 3,24.94297,121.50342
Player 3,24.96305,121.53758
Player 3,24.98748,121.54301
Player 3,24.97445,121.54765
Player 3,24.97015,121.54494
Player 3,24.9703,121.54458
Player 3,24.97563,121.53715
Player 3,24.94684,121.49578
Player 3,24.94925,121.49542
Player 3,24.974,121.53842
Player 3,24.95402,121.55282
Player 3,24.97419,121.5175
Player 3,24.96515,121.53737
Player 3,24.98203,121.54348
Player 3,24.94968,121.53009
Player 3,24.97254,121.54059
Player 3,24.95744,121.53711
Player 3,24.94925,121.49542
Player 3,24.95776,121.53438
Player 4,24.96365,121.51471
Player 4,24.97585,121.54516
Player 4,24.96303,121.51254
Player 4,24.97445,121.54765
Player 4,24.96305,121.54915
Player 4,24.97635,121.54329
Player 4,24.96571,121.54089
Player 4,24.96674,121.54067
Player 4,24.97964,121.53805
Player 4,24.98746,121.54391
Player 4,24.97433,121.5431
Player 4,24.97563,121.53715
Player 4,24.97587,121.53913
Player 4,24.94155,121.50381
Player 4,24.98343,121.53762
Player 4,24.95204,121.54842
Player 4,24.97723,121.53767
Player 4,24.96322,121.51237
Player 4,24.97598,121.53381
Player 4,24.95182,121.54887
Player 5,24.97445,121.54765
Player 5,24.96427,121.53964
Player 5,24.96725,121.54252
Player 5,24.96056,121.50831
Player 5,24.96735,121.54464
Player 5,24.96853,121.54413
Player 5,24.9512,121.549
Player 5,24.94297,121.50342
Player 5,24.98573,121.52758
Player 5,24.94783,121.50243
Player 5,24.9748,121.53059
Player 5,24.98569,121.5276
Player 5,24.96108,121.51046
Player 5,24.9492,121.53076
Player 5,24.9663,121.54026
Player 5,24.96674,121.54067
Player 5,24.97433,121.5431
Player 5,24.97746,121.53299
Player 5,24.98203,121.54348
Player 5,24.97433,121.5431
